spread,rolling mean,rolling std,z-score
1.4628927920726653,-2.3690330654644307,7.407154505741569,0.5173276532259214
0.3787294533997283,-2.3249687473604195,7.390254463960186,0.3658464284207242
-0.014276223989384107,-2.289270326372775,7.379552322995248,0.3082834842561297
-0.04626720203134482,-2.256736958062542,7.371259845363706,0.2998767920820908
1.837803925065856,-2.214122025304283,7.363732239844567,0.5502543843793628
4.743212651321301,-2.14832779991052,7.351471606722069,0.9374368588909879
3.737933555327629,-2.096789841002728,7.347012843510524,0.7941626781670944
2.7922218542680923,-2.0312241513029043,7.31644108538048,0.6592612377087379
5.301661370155472,-1.9537791429699622,7.290209526646376,0.9952307250712262
5.171347398705734,-1.8932228497421302,7.285744424835857,0.969642885683164
6.5236377770879415,-1.8188136301760691,7.275525563512877,1.1466458793165157
